loss,epoc,batch_in_test,batch_in_data
0.010017443,0,0,0
0.078568146,0,1,2048
0.084942847,0,2,4096
0.053253278,0,3,6144
0.082498528,0,4,8192
0.021091683,0,5,10240
0.006067362,0,6,12288
0.142906353,0,7,14336
0.1183061,0,8,16384
0.022551486,0,9,18432
0.045832507,0,10,20480
0.08573132,0,11,22528
0.068303645,0,12,24576
0.062007714,0,13,26624
0.075988933,0,14,28672
0.089527667,0,15,30720
0.109583005,0,16,32768
0.041737676,0,17,34816
0.158176675,0,18,36864
0.112698182,0,19,38912
0.080688626,0,20,40960
0.035471044,0,21,43008
0.093085021,0,22,45056
0.092066258,0,23,47104
0.044353142,0,24,49152
0.093869321,0,25,51200
0.066663288,0,26,53248
0.080748491,0,27,55296
0.092541948,0,28,57344
0.046768736,0,29,59392
0.109950617,0,30,61440
0.067047849,0,31,63488
0.102728441,0,32,65536
0.108738415,0,33,67584
0.069794223,0,34,69632
0.173231363,0,35,71680
0.080673084,0,36,73728
0.081599936,0,37,75776
0.097141445,0,38,77824
0.06115111,0,39,79872
0.156921938,0,40,81920
0.08028698,0,41,83968
0.119623646,0,42,86016
0.170180738,0,43,88064
0.090666987,0,44,90112
0.32403791,0,45,92160
0.243335858,0,46,94208
0.26509729,0,47,96256
0.329100013,0,48,98304
0.147628754,0,49,100352
0.100062095,0,50,102400
0.077042848,0,51,104448
0.196974561,0,52,106496
0.148434445,0,53,108544
0.106250413,0,54,110592
0.144069254,0,55,112640
0.065372348,0,56,114688
0.075541481,0,57,116736
0.112571225,0,58,118784
0.067964666,0,59,120832
0.241363451,0,60,122880
0.206080779,0,61,124928
0.153827623,0,62,126976
0.307875395,0,63,129024
0.238930285,0,64,131072
0.157002985,0,65,133120
0.231124178,0,66,135168
0.158613563,0,67,137216
0.01200974,1,0,0
0.235005677,1,1,2048
0.181033656,1,2,4096
0.068305433,1,3,6144
0.100673079,1,4,8192
0.271442056,1,5,10240
0.139917329,1,6,12288
0.247519195,1,7,14336
0.240082502,1,8,16384
0.088379696,1,9,18432
0.090926111,1,10,20480
0.09602648,1,11,22528
1.557730198,1,12,24576
4.494823933,1,13,26624
2.911530018,1,14,28672
0.179385468,1,15,30720
0.102184504,1,16,32768
0.028638594,1,17,34816
0.088976875,1,18,36864
0.061725304,1,19,38912
0.07373824,1,20,40960
0.042806726,1,21,43008
0.082681492,1,22,45056
0.081615351,1,23,47104
0.049007282,1,24,49152
0.094091937,1,25,51200
0.207478732,1,26,53248
0.419505,1,27,55296
0.454800189,1,28,57344
0.267479002,1,29,59392
0.382439405,1,30,61440
0.315978765,1,31,63488
0.799939871,1,32,65536
0.808059335,1,33,67584
0.305791199,1,34,69632
0.422825992,1,35,71680
0.144625291,1,36,73728
0.081828237,1,37,75776
0.100502729,1,38,77824
0.118345127,1,39,79872
0.262667835,1,40,81920
0.114937328,1,41,83968
0.163268492,1,42,86016
0.203897983,1,43,88064
0.153173625,1,44,90112
0.633755922,1,45,92160
1.575159431,1,46,94208
0.574302673,1,47,96256
0.676355302,1,48,98304
0.390302807,1,49,100352
0.302125216,1,50,102400
0.05850983,1,51,104448
0.142628208,1,52,106496
0.116168775,1,53,108544
0.100553684,1,54,110592
0.224476472,1,55,112640
0.135252178,1,56,114688
0.193684712,1,57,116736
0.234181136,1,58,118784
0.111367084,1,59,120832
0.460476309,1,60,122880
0.466708601,1,61,124928
1.430421472,1,62,126976
2.006768703,1,63,129024
0.976825178,1,64,131072
0.239832953,1,65,133120
0.243632942,1,66,135168
0.13340047,1,67,137216
0.015286069,2,0,0
0.177754074,2,1,2048
0.120225236,2,2,4096
0.144517317,2,3,6144
0.363556117,2,4,8192
0.060533315,2,5,10240
0.016548894,2,6,12288
0.043915901,2,7,14336
0.069865309,2,8,16384
0.024840074,2,9,18432
0.05879746,2,10,20480
0.143683851,2,11,22528
0.068332769,2,12,24576
0.073474705,2,13,26624
0.088317238,2,14,28672
0.141819775,2,15,30720
0.136550829,2,16,32768
0.024639877,2,17,34816
0.062519267,2,18,36864
0.038870279,2,19,38912
0.101016864,2,20,40960
0.03932602,2,21,43008
0.105223194,2,22,45056
0.112243593,2,23,47104
0.045095067,2,24,49152
0.10770908,2,25,51200
0.076663636,2,26,53248
0.112301782,2,27,55296
0.12895447,2,28,57344
0.072326124,2,29,59392
0.120356977,2,30,61440
0.133331507,2,31,63488
0.364408016,2,32,65536
0.446976483,2,33,67584
0.195668027,2,34,69632
0.429030776,2,35,71680
0.13513428,2,36,73728
0.149340898,2,37,75776
0.19966349,2,38,77824
0.104274169,2,39,79872
0.255125254,2,40,81920
0.141343623,2,41,83968
0.2331682,2,42,86016
0.225502402,2,43,88064
0.158720896,2,44,90112
0.390753895,2,45,92160
0.222973093,2,46,94208
0.318237305,2,47,96256
0.45028922,2,48,98304
0.189271033,2,49,100352
0.10850659,2,50,102400
0.056498148,2,51,104448
0.133105814,2,52,106496
0.109054945,2,53,108544
0.070917636,2,54,110592
0.160091385,2,55,112640
0.085462317,2,56,114688
0.096912496,2,57,116736
0.128137991,2,58,118784
0.076984324,2,59,120832
0.247882336,2,60,122880
0.203873634,2,61,124928
0.106938116,2,62,126976
0.150823087,2,63,129024
0.089826465,2,64,131072
0.18481198,2,65,133120
0.463049948,2,66,135168
0.1055253,2,67,137216
0.020136451,3,0,0
0.081339084,3,1,2048
0.092554159,3,2,4096
0.082653798,3,3,6144
0.076447651,3,4,8192
0.105365381,3,5,10240
0.036338378,3,6,12288
0.082045816,3,7,14336
0.08122877,3,8,16384
0.049058061,3,9,18432
0.078190193,3,10,20480
0.101403609,3,11,22528
0.073915526,3,12,24576
0.066264614,3,13,26624
0.080640063,3,14,28672
0.156242102,3,15,30720
0.130928412,3,16,32768
0.032878041,3,17,34816
0.076182477,3,18,36864
0.044470146,3,19,38912
0.086895019,3,20,40960
0.114147596,3,21,43008
0.162103027,3,22,45056
0.087666914,3,23,47104
0.05352512,3,24,49152
0.145948276,3,25,51200
0.334881097,3,26,53248
0.752661765,3,27,55296
0.583549917,3,28,57344
0.414298862,3,29,59392
0.614482105,3,30,61440
0.402275205,3,31,63488
0.837419391,3,32,65536
0.864762127,3,33,67584
0.493037581,3,34,69632
0.919448674,3,35,71680
0.256157666,3,36,73728
0.149355382,3,37,75776
0.206969008,3,38,77824
0.169794649,3,39,79872
0.337974072,3,40,81920
0.130504623,3,41,83968
0.24443689,3,42,86016
0.233990967,3,43,88064
0.179521695,3,44,90112
0.51043576,3,45,92160
0.275461942,3,46,94208
0.458212912,3,47,96256
0.531638801,3,48,98304
0.323074013,3,49,100352
0.308332473,3,50,102400
0.079103269,3,51,104448
0.177424893,3,52,106496
0.147076771,3,53,108544
0.096569464,3,54,110592
0.165179655,3,55,112640
0.073302522,3,56,114688
0.119187832,3,57,116736
0.142862499,3,58,118784
0.092034534,3,59,120832
0.33482796,3,60,122880
0.236691624,3,61,124928
0.11685326,3,62,126976
0.166568592,3,63,129024
0.100121588,3,64,131072
0.727235436,3,65,133120
0.612186551,3,66,135168
0.257662475,3,67,137216
0.031688061,4,0,0
0.106896326,4,1,2048
0.131980926,4,2,4096
0.101972796,4,3,6144
0.398131102,4,4,8192
0.108391896,4,5,10240
0.04153686,4,6,12288
0.085960761,4,7,14336
0.126466811,4,8,16384
0.108088285,4,9,18432
0.235998303,4,10,20480
0.296990782,4,11,22528
0.460353911,4,12,24576
1.080775261,4,13,26624
1.055835247,4,14,28672
0.706183374,4,15,30720
0.747211397,4,16,32768
0.288953662,4,17,34816
0.539579868,4,18,36864
0.308818012,4,19,38912
0.678564429,4,20,40960
0.834949434,4,21,43008
1.197108388,4,22,45056
0.61502552,4,23,47104
0.918195486,4,24,49152
1.52941215,4,25,51200
0.598369598,4,26,53248
0.47771284,4,27,55296
0.458641469,4,28,57344
0.627493382,4,29,59392
1.112912893,4,30,61440
0.719636202,4,31,63488
1.42983222,4,32,65536
1.189638615,4,33,67584
0.698348522,4,34,69632
1.228950143,4,35,71680
0.378248513,4,36,73728
0.226500034,4,37,75776
0.274388254,4,38,77824
0.194994614,4,39,79872
0.570527732,4,40,81920
0.412554383,4,41,83968
0.959899068,4,42,86016
0.63384366,4,43,88064
0.290860087,4,44,90112
0.589984715,4,45,92160
0.295654982,4,46,94208
0.724434137,4,47,96256
0.815248787,4,48,98304
0.312924057,4,49,100352
0.209702715,4,50,102400
0.071908474,4,51,104448
0.120900251,4,52,106496
0.105677567,4,53,108544
0.095316127,4,54,110592
0.216154456,4,55,112640
0.105894856,4,56,114688
0.585172296,4,57,116736
0.471012473,4,58,118784
0.200279802,4,59,120832
0.380801737,4,60,122880
0.282221735,4,61,124928
0.183627173,4,62,126976
0.253724366,4,63,129024
0.162376031,4,64,131072
0.280797184,4,65,133120
0.183464438,4,66,135168
0.108860448,4,67,137216
0.050810423,5,0,0
0.384347022,5,1,2048
0.394853592,5,2,4096
0.110947892,5,3,6144
0.153136149,5,4,8192
0.047189653,5,5,10240
0.024971267,5,6,12288
0.059230477,5,7,14336
0.075710721,5,8,16384
0.035045519,5,9,18432
0.077135235,5,10,20480
0.112873361,5,11,22528
1.621486902,5,12,24576
2.092699766,5,13,26624
0.42136693,5,14,28672
0.117661402,5,15,30720
0.205331668,5,16,32768
0.028288733,5,17,34816
0.08594618,5,18,36864
0.058920991,5,19,38912
0.215805009,5,20,40960
0.137825295,5,21,43008
0.309896678,5,22,45056
0.259922832,5,23,47104
0.382944226,5,24,49152
0.670226753,5,25,51200
0.326784343,5,26,53248
0.293200493,5,27,55296
0.246846765,5,28,57344
0.297476083,5,29,59392
0.715130568,5,30,61440
0.532156229,5,31,63488
0.934833348,5,32,65536
0.885459304,5,33,67584
0.562792778,5,34,69632
1.043748975,5,35,71680
0.333049774,5,36,73728
0.1981612,5,37,75776
0.228902698,5,38,77824
0.198959529,5,39,79872
0.587498069,5,40,81920
0.220789149,5,41,83968
0.554770648,5,42,86016
0.394652367,5,43,88064
0.220033765,5,44,90112
0.684111059,5,45,92160
0.41741398,5,46,94208
0.863812804,5,47,96256
0.935164988,5,48,98304
0.428535342,5,49,100352
0.392386883,5,50,102400
0.09033756,5,51,104448
0.14186272,5,52,106496
0.094363198,5,53,108544
0.080683485,5,54,110592
0.261528373,5,55,112640
0.148618996,5,56,114688
0.325983435,5,57,116736
0.272993147,5,58,118784
0.130536497,5,59,120832
0.460995853,5,60,122880
0.332979262,5,61,124928
0.14576143,5,62,126976
0.189336389,5,63,129024
0.131837621,5,64,131072
0.688013494,5,65,133120
0.345006496,5,66,135168
0.152971193,5,67,137216
0.029921744,6,0,0
0.13151446,6,1,2048
0.107941419,6,2,4096
0.205757216,6,3,6144
0.539604664,6,4,8192
0.077605471,6,5,10240
0.006910132,6,6,12288
0.040466979,6,7,14336
0.069225341,6,8,16384
0.026154175,6,9,18432
0.061554506,6,10,20480
0.102687463,6,11,22528
0.104134314,6,12,24576
0.089591041,6,13,26624
0.082427368,6,14,28672
0.088267766,6,15,30720
0.100338839,6,16,32768
0.066163339,6,17,34816
0.141112849,6,18,36864
0.135975689,6,19,38912
0.67270726,6,20,40960
0.04932829,6,21,43008
0.158288896,6,22,45056
0.157124907,6,23,47104
0.211967736,6,24,49152
0.432208627,6,25,51200
0.227304697,6,26,53248
0.114772446,6,27,55296
0.129252046,6,28,57344
0.071757779,6,29,59392
0.254452646,6,30,61440
0.358953267,6,31,63488
0.865676582,6,32,65536
0.805997729,6,33,67584
0.370702147,6,34,69632
0.923618674,6,35,71680
0.337006867,6,36,73728
0.310436279,6,37,75776
0.340248317,6,38,77824
0.176690668,6,39,79872
0.42038095,6,40,81920
0.433407187,6,41,83968
0.949672878,6,42,86016
0.658852279,6,43,88064
0.320003778,6,44,90112
0.611789703,6,45,92160
0.607225299,6,46,94208
2.22706604,6,47,96256
1.640647769,6,48,98304
0.563165545,6,49,100352
0.490519613,6,50,102400
0.132079527,6,51,104448
0.267096102,6,52,106496
0.212796316,6,53,108544
0.12058375,6,54,110592
0.225288302,6,55,112640
0.477418751,6,56,114688
0.873475611,6,57,116736
0.605452538,6,58,118784
0.235176414,6,59,120832
0.363278985,6,60,122880
0.333505332,6,61,124928
0.426800102,6,62,126976
0.391118854,6,63,129024
0.231306538,6,64,131072
1.302485347,6,65,133120
1.541558623,6,66,135168
0.690321326,6,67,137216
2.219100714,7,0,0
1.799555898,7,1,2048
0.699488163,7,2,4096
3.921636105,7,3,6144
1.490772843,7,4,8192
0.043861769,7,5,10240
0.214872524,7,6,12288
0.187879235,7,7,14336
0.124155506,7,8,16384
0.094392717,7,9,18432
0.250872076,7,10,20480
0.240429848,7,11,22528
0.590460837,7,12,24576
1.475163698,7,13,26624
1.349488378,7,14,28672
0.833406925,7,15,30720
0.814182162,7,16,32768
1.586191177,7,17,34816
1.832976937,7,18,36864
0.79794538,7,19,38912
1.515075684,7,20,40960
1.58631742,7,21,43008
1.988527775,7,22,45056
1.010144234,7,23,47104
0.836062193,7,24,49152
1.326464057,7,25,51200
0.973655641,7,26,53248
1.972412109,7,27,55296
1.552489042,7,28,57344
1.30752492,7,29,59392
2.19879055,7,30,61440
1.030647516,7,31,63488
1.852166295,7,32,65536
1.36652267,7,33,67584
0.640690565,7,34,69632
1.310352206,7,35,71680
0.590976417,7,36,73728
0.699979603,7,37,75776
0.642628491,7,38,77824
0.481740952,7,39,79872
1.105814457,7,40,81920
0.543185174,7,41,83968
1.122734785,7,42,86016
0.950445056,7,43,88064
0.468979239,7,44,90112
0.739363253,7,45,92160
0.439953625,7,46,94208
0.906820655,7,47,96256
0.938007057,7,48,98304
0.593492329,7,49,100352
0.989641547,7,50,102400
0.609888375,7,51,104448
0.761309743,7,52,106496
0.491532445,7,53,108544
0.757423103,7,54,110592
1.005882025,7,55,112640
0.801083207,7,56,114688
1.407274723,7,57,116736
1.279333234,7,58,118784
0.510706842,7,59,120832
0.95237267,7,60,122880
0.695444584,7,61,124928
1.003581047,7,62,126976
1.477963924,7,63,129024
0.77668792,7,64,131072
0.634215653,7,65,133120
0.782484293,7,66,135168
0.487942606,7,67,137216
0.097727135,8,0,0
0.592530668,8,1,2048
0.616366863,8,2,4096
